id,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
25,Midnights,4,7GA86Uo2jYbj8vIXe2nyWd,Snow On The Beach (feat. Lana Del Rey),spotify:track:7GA86Uo2jYbj8vIXe2nyWd,0.705,0.653,0.331,0.0013,0.116,-13.534,0.039,110.014,0.166,67
26,Midnights,5,6PQOU00xWNrGwCZzboriXy,"You're On Your Own, Kid",spotify:track:6PQOU00xWNrGwCZzboriXy,0.423,0.694,0.386,1.05e-05,0.126,-10.312,0.0597,120.044,0.39,69
27,Midnights,6,4eKMqf9ZMSclDX7V9Ptg7x,Midnight Rain,spotify:track:4eKMqf9ZMSclDX7V9Ptg7x,0.705,0.654,0.372,6.78e-05,0.114,-11.704,0.0667,140.15,0.198,69
28,Midnights,7,7oomkQSYf1ia2VnVEWfFIU,Question...?,spotify:track:7oomkQSYf1ia2VnVEWfFIU,0.205,0.741,0.509,0.0,0.262,-8.747,0.19,108.978,0.113,67
29,Midnights,8,0GKDhq6ZbmSbRHd3eyGlB7,Vigilante Shit,spotify:track:0GKDhq6ZbmSbRHd3eyGlB7,0.157,0.867,0.272,3.42e-05,0.118,-11.014,0.363,79.962,0.157,68
30,Midnights,9,0VpF6RLdCfPIeYRwMu4tZK,Bejeweled,spotify:track:0VpF6RLdCfPIeYRwMu4tZK,0.0648,0.695,0.546,0.000128,0.0883,-9.184,0.066,164.0,0.425,68
31,Midnights,10,4bBDkw2KBMX0tcgAaXC83Q,Labyrinth,spotify:track:4bBDkw2KBMX0tcgAaXC83Q,0.804,0.493,0.308,0.328,0.123,-15.489,0.0436,109.993,0.13,66
32,Midnights,11,45R112Jz5hQeKgITXgSXzs,Karma,spotify:track:45R112Jz5hQeKgITXgSXzs,0.0782,0.647,0.614,0.0,0.611,-7.091,0.0651,90.034,0.0956,68
33,Midnights,12,2L09RYwH5Pjzca6PmbUAw3,Sweet Nothing,spotify:track:2L09RYwH5Pjzca6PmbUAw3,0.967,0.335,0.166,0.00012,0.115,-14.958,0.048,175.917,0.391,66
34,Midnights,13,1QQii3pa5m8MEda0nbkjfw,Mastermind,spotify:track:1QQii3pa5m8MEda0nbkjfw,0.545,0.661,0.345,0.000915,0.0871,-14.037,0.144,125.977,0.126,67
35,Midnights,14,2VuqMjgoKaOHNM8HpxtXKx,The Great War,spotify:track:2VuqMjgoKaOHNM8HpxtXKx,0.203,0.573,0.737,2.78e-05,0.0851,-9.002,0.0352,96.009,0.592,67
36,Midnights,15,71CBDRKmF2VeRKYMG1DFBh,Bigger Than The Whole Sky,spotify:track:71CBDRKmF2VeRKYMG1DFBh,0.837,0.48,0.22,0.00269,0.116,-12.469,0.0425,82.951,0.0633,65
